line_id	source_image_id	source_group	x	y	w	h	detector_version	crop_path	quality_score	provisional_class	raw_prelabel	verified_text	label_status	review_status
IMG_0028_L03	IMG_0028	P_20260903_203729	0	777	1484	175	v1.1	work/crops/IMG_0028_L03.jpg	133.18203811812384	TEXT_WITH_CONTEXTUAL_NUMBERS	 b)76hg táo.		PRELABELED	PENDING
IMG_0007_L01	IMG_0007	P_20260903_203652	0	113	1316	715	v1.1	work/crops/IMG_0007_L01.jpg	132.51997762444373	TEXT_WITH_CONTEXTUAL_NUMBERS	Ộn g cti 2nh nahhh		PRELABELED	PENDING
IMG_0169_L02	IMG_0169	P_20260903_204036	0	396	1373	138	v1.1	work/crops/IMG_0169_L02.jpg	131.49366544586118	TEXT_WITH_CONTEXTUAL_NUMBERS	 Đấp rố: 180m.		PRELABELED	PENDING
IMG_0025_L00	IMG_0025	P_20260903_203724	19	0	1357	646	v1.1	work/crops/IMG_0025_L00.jpg	129.76457464066632	TEXT_WITH_CONTEXTUAL_NUMBERS	À 2aa co a ảhn ai ha		PRELABELED	PENDING
IMG_0025_L02	IMG_0025	P_20260903_203724	19	669	1266	111	v1.1	work/crops/IMG_0025_L02.jpg	129.76457464066632	TEXT_WITH_CONTEXTUAL_NUMBERS	b)13P00 00đ		PRELABELED	PENDING
IMG_0140_L00	IMG_0140	P_20260903_203958	31	0	1156	101	v1.1	work/crops/IMG_0140_L00.jpg	126.90602293694944	TEXT_WITH_CONTEXTUAL_NUMBERS	 54, 73 Thư lại: 90,97		PRELABELED	PENDING
IMG_0128_L01	IMG_0128	P_20260903_203945	26	19	1153	127	v1.1	work/crops/IMG_0128_L01.jpg	126.3781746310822	TEXT_WITH_CONTEXTUAL_NUMBERS	b23:2 và12		PRELABELED	PENDING
IMG_0128_L02	IMG_0128	P_20260903_203945	23	109	1158	95	v1.1	work/crops/IMG_0128_L02.jpg	126.3781746310822	TEXT_WITH_CONTEXTUAL_NUMBERS	BIG52V		PRELABELED	PENDING
IMG_0128_L03	IMG_0128	P_20260903_203945	0	178	1190	344	v1.1	work/crops/IMG_0128_L03.jpg	126.3781746310822	TEXT_WITH_CONTEXTUAL_NUMBERS	nu lã ì 2Bna,hhn  hở		PRELABELED	PENDING
IMG_0128_L04	IMG_0128	P_20260903_203945	0	502	1216	268	v1.1	work/crops/IMG_0128_L04.jpg	126.3781746310822	TEXT_WITH_CONTEXTUAL_NUMBERS	55 20 QSỹ đng nhh n ố: ở		PRELABELED	PENDING
IMG_0063_L04	IMG_0063	P_20260903_203816	14	488	1182	107	v1.1	work/crops/IMG_0063_L04.jpg	123.69941602779355	TEXT_WITH_CONTEXTUAL_NUMBERS	Đắp số: S400 cm²		PRELABELED	PENDING
IMG_0158_L01	IMG_0158	P_20260903_204015	0	159	1293	442	v1.1	work/crops/IMG_0158_L01.jpg	118.27390671118405	TEXT_WITH_CONTEXTUAL_NUMBERS	  Àn 3 đ ging2a.		PRELABELED	PENDING
IMG_0024_L00	IMG_0024	P_20260903_203724	21	0	1291	225	v1.1	work/crops/IMG_0024_L00.jpg	118.26611703125681	TEXT_WITH_CONTEXTUAL_NUMBERS	đ ếmt nủa 2t ấnhái là!		PRELABELED	PENDING
IMG_0024_L01	IMG_0024	P_20260903_203724	21	178	1319	266	v1.1	work/crops/IMG_0024_L01.jpg	118.26611703125681	TEXT_WITH_CONTEXTUAL_NUMBERS	83Àắp,nhở. 44 nắ		PRELABELED	PENDING
IMG_0129_L03	IMG_0129	P_20260903_203946	22	520	1035	106	v1.1	work/crops/IMG_0129_L03.jpg	115.35902634616798	TEXT_WITH_CONTEXTUAL_NUMBERS	55x125G25Gc		PRELABELED	PENDING
IMG_0125_L01	IMG_0125	P_20260903_203941	0	51	861	111	v1.1	work/crops/IMG_0125_L01.jpg	114.46219184031881	TEXT_WITH_CONTEXTUAL_NUMBERS	2020:5G		PRELABELED	PENDING
IMG_0171_L00	IMG_0171	P_20260903_204041	0	17	895	195	v1.1	work/crops/IMG_0171_L00.jpg	112.16355397664204	TEXT_WITH_CONTEXTUAL_NUMBERS	d, 16 giờ 1 nhút S nh		PRELABELED	PENDING
IMG_0022_L00	IMG_0022	P_20260903_203722	15	0	1057	303	v1.1	work/crops/IMG_0022_L00.jpg	110.61698595187046	TEXT_WITH_CONTEXTUAL_NUMBERS	3So h Cuo 2ở l1ị0o 000 cLòn		PRELABELED	PENDING
IMG_0022_L01	IMG_0022	P_20260903_203722	8	255	1484	229	v1.1	work/crops/IMG_0022_L01.jpg	110.61698595187046	TEXT_WITH_CONTEXTUAL_NUMBERS	(1100 000: Đ002 s1 110 000 (dồng		PRELABELED	PENDING
IMG_0033_L03	IMG_0033	P_20260903_203735	0	453	1358	218	v1.1	work/crops/IMG_0033_L03.jpg	110.04171693721914	TEXT_WITH_CONTEXTUAL_NUMBERS	1000: Đ12 ối tả đá.		PRELABELED	PENDING
IMG_0062_L01	IMG_0062	P_20260903_203814	0	357	1330	324	v1.1	work/crops/IMG_0062_L01.jpg	107.65503640225124	TEXT_WITH_CONTEXTUAL_NUMBERS	những sã 6 1550Scm30mi.		PRELABELED	PENDING
IMG_0001_L02	IMG_0001	P_20260903_203635	35	348	1189	184	v1.1	work/crops/IMG_0001_L02.jpg	106.26619443721258	TEXT_WITH_CONTEXTUAL_NUMBERS	7200 00 áp s0 uội đn		PRELABELED	PENDING
IMG_0001_L03	IMG_0001	P_20260903_203635	31	516	1263	128	v1.1	work/crops/IMG_0001_L03.jpg	106.26619443721258	TEXT_WITH_CONTEXTUAL_NUMBERS	con 10 600 D0 đông. g chiều 22Nađđ		PRELABELED	PENDING
