line_id	source_image_id	source_group	x	y	w	h	detector_version	crop_path	quality_score	provisional_class	raw_prelabel	verified_text	label_status	review_status
IMG_0043_L00	IMG_0043	P_20260903_203751	58	0	1330	423	v1.1	work/crops/IMG_0043_L00.jpg	153.92411182154467	TEXT_WITH_CONTEXTUAL_NUMBERS	2 ổ ờ P ga Dau Đin cân		PRELABELED	PENDING
IMG_0043_L01	IMG_0043	P_20260903_203751	0	382	1421	401	v1.1	work/crops/IMG_0043_L01.jpg	153.92411182154467	TEXT_WITH_CONTEXTUAL_NUMBERS	Đện ởĩ 2n phii a hnh kan		PRELABELED	PENDING
IMG_0043_L02	IMG_0043	P_20260903_203751	3	749	1425	101	v1.1	work/crops/IMG_0043_L02.jpg	153.92411182154467	TEXT_WITH_CONTEXTUAL_NUMBERS	 Đap rổ: 5200 em².1		PRELABELED	PENDING
IMG_0068_L00	IMG_0068	P_20260903_203823	6	0	1220	467	v1.1	work/crops/IMG_0068_L00.jpg	152.35198583463568	TEXT_WITH_CONTEXTUAL_NUMBERS	ch tp đa gi để iền đ 0		PRELABELED	PENDING
IMG_0056_L00	IMG_0056	P_20260903_203808	0	0	1394	373	v1.1	work/crops/IMG_0056_L00.jpg	150.7744342396704	TEXT_WITH_CONTEXTUAL_NUMBERS	1h ện Tình n, ghanh là mật ma		PRELABELED	PENDING
IMG_0152_L00	IMG_0152	P_20260903_204009	0	0	1330	414	v1.1	work/crops/IMG_0152_L00.jpg	150.46885913237895	TEXT_WITH_CONTEXTUAL_NUMBERS	u 3ể ếh  sệ3 an		PRELABELED	PENDING
IMG_0151_L02	IMG_0151	P_20260903_204009	63	622	1108	113	v1.1	work/crops/IMG_0151_L02.jpg	149.93120357894378	TEXT_WITH_CONTEXTUAL_NUMBERS	àp rố 2 6400d		PRELABELED	PENDING
IMG_0004_L00	IMG_0004	P_20260903_203642	0	0	1415	913	v1.1	work/crops/IMG_0004_L00.jpg	149.51421897559837	TEXT_WITH_CONTEXTUAL_NUMBERS	 n  cản0.		PRELABELED	PENDING
IMG_0004_L01	IMG_0004	P_20260903_203642	75	881	1336	138	v1.1	work/crops/IMG_0004_L01.jpg	149.51421897559837	TEXT_WITH_CONTEXTUAL_NUMBERS	 CBon vựt: 20000le		PRELABELED	PENDING
IMG_0046_L03	IMG_0046	P_20260903_203755	0	529	1208	38	v1.1	work/crops/IMG_0046_L03.jpg	148.94537542524938	TEXT_WITH_CONTEXTUAL_NUMBERS	tNN1!		PRELABELED	PENDING
IMG_0048_L01	IMG_0048	P_20260903_203757	0	339	1269	99	v1.1	work/crops/IMG_0048_L01.jpg	143.42201515651772	TEXT_WITH_CONTEXTUAL_NUMBERS	 Đáp nố: 6250cm		PRELABELED	PENDING
IMG_0112_L03	IMG_0112	P_20260903_203918	3	331	1296	127	v1.1	work/crops/IMG_0112_L03.jpg	142.15836156082284	TEXT_WITH_CONTEXTUAL_NUMBERS	Đáp rố: 38kmr		PRELABELED	PENDING
IMG_0076_L04	IMG_0076	P_20260903_203834	0	330	1240	204	v1.1	work/crops/IMG_0076_L04.jpg	139.52195146533373	TEXT_WITH_CONTEXTUAL_NUMBERS	làm chiếc hộp đơ là m2,		PRELABELED	PENDING
IMG_0076_L05	IMG_0076	P_20260903_203834	0	501	1247	132	v1.1	work/crops/IMG_0076_L05.jpg	139.52195146533373	TEXT_WITH_CONTEXTUAL_NUMBERS	 Đáp số: 37,5tdm?6		PRELABELED	PENDING
IMG_0093_L02	IMG_0093	P_20260903_203852	0	146	1251	118	v1.1	work/crops/IMG_0093_L02.jpg	139.20602924693708	TEXT_WITH_CONTEXTUAL_NUMBERS	90gây phit giây		PRELABELED	PENDING
IMG_0093_L04	IMG_0093	P_20260903_203852	16	268	1156	66	v1.1	work/crops/IMG_0093_L04.jpg	139.20602924693708	TEXT_WITH_CONTEXTUAL_NUMBERS	D0		PRELABELED	PENDING
IMG_0005_L10	IMG_0005	P_20260903_203650	0	496	1322	91	v1.1	work/crops/IMG_0005_L10.jpg	139.1532391889482	TEXT_WITH_CONTEXTUAL_NUMBERS	Đáp ố: ln n 2nha		PRELABELED	PENDING
IMG_0005_L11	IMG_0005	P_20260903_203650	0	568	1323	147	v1.1	work/crops/IMG_0005_L11.jpg	139.1532391889482	TEXT_WITH_CONTEXTUAL_NUMBERS	 lạn mam: 30 lạn.		PRELABELED	PENDING
IMG_0071_L02	IMG_0071	P_20260903_203828	34	157	1265	102	v1.1	work/crops/IMG_0071_L02.jpg	138.6414680173298	TEXT_WITH_CONTEXTUAL_NUMBERS	 Đốp rố: 216 cm²		PRELABELED	PENDING
IMG_0073_L00	IMG_0073	P_20260903_203832	19	0	1212	341	v1.1	work/crops/IMG_0073_L00.jpg	136.94167947807225	TEXT_WITH_CONTEXTUAL_NUMBERS	4. ChTh đim g ấn bon d la ae		PRELABELED	PENDING
IMG_0073_L03	IMG_0073	P_20260903_203832	0	680	1263	123	v1.1	work/crops/IMG_0073_L03.jpg	136.94167947807225	TEXT_WITH_CONTEXTUAL_NUMBERS	 b)12 Bẩp		PRELABELED	PENDING
IMG_0123_L00	IMG_0123	P_20260903_203941	0	0	1258	515	v1.1	work/crops/IMG_0123_L00.jpg	134.54323277437672	TEXT_WITH_CONTEXTUAL_NUMBERS	ởi t h Nể. 2ản 00 p2000 0		PRELABELED	PENDING
IMG_0123_L01	IMG_0123	P_20260903_203941	0	489	935	123	v1.1	work/crops/IMG_0123_L01.jpg	134.54323277437672	TEXT_WITH_CONTEXTUAL_NUMBERS	chữ số là: 10 000 000.		PRELABELED	PENDING
IMG_0028_L01	IMG_0028	P_20260903_203729	2	145	1482	593	v1.1	work/crops/IMG_0028_L01.jpg	133.18203811812384	TEXT_WITH_CONTEXTUAL_NUMBERS	cả s n ờ2n g0eu,0. n0		PRELABELED	PENDING
IMG_0028_L02	IMG_0028	P_20260903_203729	2	697	1402	123	v1.1	work/crops/IMG_0028_L02.jpg	133.18203811812384	TEXT_WITH_CONTEXTUAL_NUMBERS	Bấp gố ai 5kg		PRELABELED	PENDING
