line_id	source_image_id	source_group	x	y	w	h	detector_version	crop_path	quality_score	provisional_class	raw_prelabel	verified_text	label_status	review_status
IMG_0000_L03	IMG_0000	P_20260903_203620	22	541	1274	202	v1.1	work/crops/IMG_0000_L03.jpg	221.3039394401166	TEXT_WITH_CONTEXTUAL_NUMBERS	Số cón lo 3gnglà:		PRELABELED	PENDING
IMG_0000_L04	IMG_0000	P_20260903_203620	18	682	1293	210	v1.1	work/crops/IMG_0000_L04.jpg	221.3039394401166	TEXT_WITH_CONTEXTUAL_NUMBERS	Đáp rố: TBộ khoang, 1con		PRELABELED	PENDING
IMG_0078_L00	IMG_0078	P_20260903_203838	50	0	1247	107	v1.1	work/crops/IMG_0078_L00.jpg	219.81404950993598	TEXT_WITH_CONTEXTUAL_NUMBERS	2. Số?g0		PRELABELED	PENDING
IMG_0099_L00	IMG_0099	P_20260903_203900	0	0	1260	532	v1.1	work/crops/IMG_0099_L00.jpg	219.65439113820736	TEXT_WITH_CONTEXTUAL_NUMBERS	in Bh 2i 3 ả  c 		PRELABELED	PENDING
IMG_0064_L00	IMG_0064	P_20260903_203816	16	0	1256	511	v1.1	work/crops/IMG_0064_L00.jpg	218.83971862415973	TEXT_WITH_CONTEXTUAL_NUMBERS	a. tể ệt .àu 0a1o		PRELABELED	PENDING
IMG_0064_L01	IMG_0064	P_20260903_203816	18	451	1190	153	v1.1	work/crops/IMG_0064_L01.jpg	218.83971862415973	TEXT_WITH_CONTEXTUAL_NUMBERS	 Bxp số: 600em.		PRELABELED	PENDING
IMG_0114_L00	IMG_0114	P_20260903_203922	40	0	1224	312	v1.1	work/crops/IMG_0114_L00.jpg	214.7931765287266	TEXT_WITH_CONTEXTUAL_NUMBERS	2 H n mấyờ điển hàc ny ga		PRELABELED	PENDING
IMG_0114_L02	IMG_0114	P_20260903_203922	28	410	1208	244	v1.1	work/crops/IMG_0114_L02.jpg	214.7931765287266	TEXT_WITH_CONTEXTUAL_NUMBERS	Đổi 2 ap sử gha 30 phư)		PRELABELED	PENDING
IMG_0021_L00	IMG_0021	P_20260903_203718	7	0	1284	112	v1.1	work/crops/IMG_0021_L00.jpg	210.5471236717019	TEXT_WITH_CONTEXTUAL_NUMBERS	Bài 2:		PRELABELED	PENDING
IMG_0021_L02	IMG_0021	P_20260903_203718	6	336	1306	103	v1.1	work/crops/IMG_0021_L02.jpg	210.5471236717019	TEXT_WITH_CONTEXTUAL_NUMBERS	Tg0c		PRELABELED	PENDING
IMG_0160_L00	IMG_0160	P_20260903_204022	0	0	1251	366	v1.1	work/crops/IMG_0160_L00.jpg	209.76338093661545	TEXT_WITH_CONTEXTUAL_NUMBERS	23 tch minh vuan m u l.		PRELABELED	PENDING
IMG_0041_L00	IMG_0041	P_20260903_203746	234	2	1043	81	v1.1	work/crops/IMG_0041_L00.jpg	208.1636699483813	TEXT_WITH_CONTEXTUAL_NUMBERS	H1cn iraHranh caD		PRELABELED	PENDING
IMG_0041_L02	IMG_0041	P_20260903_203746	269	82	822	76	v1.1	work/crops/IMG_0041_L02.jpg	208.1636699483813	TEXT_WITH_CONTEXTUAL_NUMBERS	1 hnt c0,.		PRELABELED	PENDING
IMG_0105_L01	IMG_0105	P_20260903_203910	8	197	1286	124	v1.1	work/crops/IMG_0105_L01.jpg	202.603472419704	TEXT_WITH_CONTEXTUAL_NUMBERS	 Đáp Bố: 0giờ.:		PRELABELED	PENDING
IMG_0167_L01	IMG_0167	P_20260903_204034	142	453	1084	228	v1.1	work/crops/IMG_0167_L01.jpg	200.84307919490792	TEXT_WITH_CONTEXTUAL_NUMBERS	32530 Đảp hố) 22000 e?		PRELABELED	PENDING
